교과목,교수명,수업형태,시간,장소,학점,영역,구분,
동양철학의이해,도민재,오프라인,"금(1,2)", 13-201,2,제2영역:역사와철학,공통,
논리와사고,김준승,오프라인,"화(5,6)", 13-301 ,2,제2영역:역사와철학,공통,
철학과사상,김준승,오프라인,"화(1,2,3)", 13-301 ,3,제2영역:역사와철학,공통,
동양문화사,도민재,오프라인,"월(1,2),화(3)", 13-403 ,3,제2영역:역사와철학,공통,
서양문화사,송영대,오프라인,"수(4,5,6)", 13-103 ,3,제2영역:역사와철학,공통,
수학의이해,김인경,오프라인,"목(1,2)", 13-401 ,2,제4영역:과학과기술,공통,
미래문화와정보전략,김혜영,오프라인,"월(7,8)", 13-301,2,제3영역:인간과사회,공통,
매스컴과현대사회,안종묵,온라인(동영상콘텐츠),(온라인),(온라인),2,제3영역:인간과사회,공통,
매스컴과현대사회,안종묵,온라인(동영상콘텐츠),(온라인),(온라인),2,제3영역:인간과사회,공통,
생활과법률,조민우,오프라인,"월(7,8,9)", 13-303 ,3,제3영역:인간과사회,공통,
지방자치와행정,유태종,오프라인,"월(3,4)", 13-201 ,2,제5영역:정치와경제,공통,
정치학의이해,최선영,오프라인,"수(3,4)", 13-203 ,2,제5영역:정치와경제,공통,
정치학의이해,최선영,오프라인,"수(6,7)", 13-203 ,2,제5영역:정치와경제,공통,
현대의경제생활,김종구,온오프병행,"수(8,9)", 09-312 ,2,제5영역:정치와경제,공통,
개발과환경,박종광,오프라인,"수(5,6)", 13-101 ,2,제5영역:정치와경제,공통,
관광산업의이해,이익수,온라인(동영상콘텐츠),(온라인),(온라인),2,제5영역:정치와경제,공통,
관광산업의이해,이익수,온라인(동영상콘텐츠),(온라인),(온라인),2,제5영역:정치와경제,공통,
현대회계의이해,정훈,오프라인,"목(8,9)", 13-301 ,2,제5영역:정치와경제,공통,
생명의신비,조성규,오프라인,"수(8,9)", 13-301 ,2,제4영역:과학과기술,공통,
건축의이해,정진주,오프라인,"수(1,2)", 13-201 ,2,제4영역:과학과기술,공통,
건축의이해,정진주,오프라인,"수(5,6)", 13-501 ,2,제4영역:과학과기술,공통,
남북한정치의이해,유호근,오프라인,"화(6,7)", 13-303 ,2,제5영역:정치와경제,공통,
성의사회학,이영범,오프라인,"월(8,9)", 13-401 ,2,제3영역:인간과사회,공통,
인간생활과토지,박정호,오프라인,"금(1,2)", 13-202 ,2,제5영역:정치와경제,공통,
현대생활과패션,이유진,온라인(동영상콘텐츠),(온라인),(온라인),2,일반영역,공통,
현대생활과패션,이유진,온라인(동영상콘텐츠),(온라인),(온라인),2,일반영역,공통,
생활과공예,황성실,오프라인,"화(1,2)", 13-103 ,2,제1영역:문화와예술,공통,
배드민턴,장주선,오프라인,"금(3,4)", 51-202 ,2,일반영역,공통,
탁구,김버들,오프라인,"수(1,2)", 51-202 ,2,일반영역,공통,
농구,김헌일,오프라인,"화(1,2)", 51-202 ,2,일반영역,공통,
사회봉사2,김현진,오프라인,금(3), 13-303 ,1,일반영역,공통,
사회봉사2,김헌진,오프라인,월(9), 13-102 ,1,일반영역,공통,
사회봉사2,홍석호,오프라인,목(3), 13-303 ,1,일반영역,공통,
역사란무엇인가,송영대,오프라인,"수(1,2)", 13-203 ,2,제2영역:역사와철학,공통,
취업전략과사회진출,김형욱,오프라인,화(3), 13-203 ,1,일반영역,공통,
취업전략과사회진출,김형욱,오프라인,화(4), 13-203 ,1,일반영역,공통,
무기체계론,전규호,오프라인,"월(5,6)", 13-402 ,2,일반영역,공통,
전쟁사,손인배,오프라인,"월(3,4)", 13-202 ,2,제2영역:역사와철학,공통,
전쟁사,손인배,오프라인,"월(6,7)", 13-202 ,2,제2영역:역사와철학,공통,
전쟁사,손인배,오프라인,"화(3,4)", 13-202 ,2,제2영역:역사와철학,공통,
북한학,전규호,오프라인,"월(8,9)", 13-402 ,2,제5영역:정치와경제,공통,
북한학,전규호,오프라인,"수(3,4)", 13-102 ,2,제5영역:정치와경제,공통,
북한학,전규호,오프라인,"수(8,9)", 13-102 ,2,제5영역:정치와경제,공통,
국가안보론,전규호,오프라인,"목(5,6)", 13-103 ,2,제5영역:정치와경제,공통,
국가안보론,전규호,오프라인,"목(8,9)", 13-103 ,2,제5영역:정치와경제,공통,
리더십,손인배,오프라인,"화(6,7)", 13-202 ,2,일반영역,공통,
리더십,손인배,오프라인,"목(3,4)", 13-202 ,2,일반영역,공통,
리더십,손인배,오프라인,"목(6,7)", 13-202 ,2,일반영역,공통,
자연과학의이해,이은경,오프라인,"수(1,2)", 13-301,2,제4영역:과학과기술,공통,
공연예술과일상생활,어일선,온라인(동영상콘텐츠),(온라인),(온라인),2,제1영역:문화와예술,공통,
공연예술과일상생활,어일선,온라인(동영상콘텐츠),(온라인),(온라인),2,제1영역:문화와예술,공통,
호신술,지용석,오프라인,"목(8,9)", 51-116 ,2,일반영역,공통,
성공하는프리젠테이션,김찬석,온라인(동영상콘텐츠),(온라인),(온라인),2,일반영역,공통,
성공하는프리젠테이션,김찬석,온라인(동영상콘텐츠),(온라인),(온라인),2,일반영역,공통,
광고로배우는아이디어발상법,정상수,온라인(동영상콘텐츠),(온라인),(온라인),2,일반영역,공통,
광고로배우는아이디어발상법,정상수,온라인(동영상콘텐츠),(온라인),(온라인),2,일반영역,공통,
세계화와나,김종구,온오프병행,"수(1,2)", 09-312 ,2,제3영역:인간과사회,공통,
글로벌시대의창조와도전,하민철,오프라인,"수(7,8)", 08-001 ,2,일반영역,공통,
독서와토론,김상태,오프라인,"수(1,2)", 13-103,2,일반영역,공통,
문화유산으로본한국사,박성준,오프라인,"월(8,9)", 13-101 ,2,제2영역:역사와철학,공통,
중국여행포커스,이시찬,오프라인,"월(6,7)", 13-103 ,2,일반영역,공통,
현대생활과광고,김철호,온라인(동영상콘텐츠),(온라인),(온라인),2,제3영역:인간과사회,공통,
현대생활과광고,김철호,온라인(동영상콘텐츠),(온라인),(온라인),2,제3영역:인간과사회,공통,
러시아문화산책,이영범,온라인(동영상콘텐츠),(온라인),(온라인),2,제1영역:문화와예술,공통,
러시아문화산책,이영범,온라인(동영상콘텐츠),(온라인),(온라인),2,제1영역:문화와예술,공통,
생활속의마케팅,이원준,온라인(동영상콘텐츠),(온라인),(온라인),2,일반영역,공통,
생활속의마케팅,이원준,온라인(동영상콘텐츠),(온라인),(온라인),2,일반영역,공통,
취업을위한자기PR,김찬석,온라인(동영상콘텐츠),(온라인),(온라인),2,일반영역,공통,
취업을위한자기PR,김찬석,온라인(동영상콘텐츠),(온라인),(온라인),2,일반영역,공통,
문화기호학,김상태,오프라인,"목(1,2)", 42-304 ,2,제1영역:문화와예술,공통,
스마트한학습으로의여행,최미나,온라인(동영상콘텐츠),(온라인),(온라인),2,일반영역,공통,
스마트한학습으로의여행,최미나,온라인(동영상콘텐츠),(온라인),(온라인),2,일반영역,공통,
토익L/CⅠ,함은경,오프라인,"월(6,7)", 20-421 ,2,일반영역,공통,
토익L/CⅠ,함은경,오프라인,"월(3,4)", 09-402 ,2,일반영역,공통,
토익L/CⅠ,함은경,오프라인,"수(6,7)", 20-421 ,2,일반영역,공통,
토익L/CⅠ,함은경,오프라인,"수(3,4)", 09-308 ,2,일반영역,공통,
토익L/CⅡ,신광인,오프라인,"화(3,4)", 13-103 ,2,일반영역,공통,
토익R/CⅠ,함은경,오프라인,"월(8,9)", 20-421 ,2,일반영역,공통,
토익R/CⅠ,김미진,오프라인,"수(7,8)", 09-316 ,2,일반영역,공통,
토익R/CⅠ,김집,오프라인,"목(3,4)", 09-310 ,2,일반영역,공통,
토익R/CⅠ,김집,오프라인,"월(4,5)", 20-230 ,2,일반영역,공통,
토익R/CⅡ,김집,오프라인,"목(1,2)", 13-301,2,일반영역,공통,
언어와과학,권영성,오프라인,"화(5,6),수(9)", 13-401 ,3,제3영역:인간과사회,공통,
스포츠마케팅의이해,김헌일,오프라인,"월(7),수(1,2)", 13-501 ,3,일반영역,공통,
약과건강,윤지은,오프라인,"화(3,4)", 13-401 ,2,제4영역:과학과기술,공통,
카툰을통한대중시각문화의이해와감상,성문기,오프라인,"월(3,4)", 13-103 ,2,제1영역:문화와예술,공통,
토익Part7(독해),김미진,오프라인,"월(6,7)", 09-308 ,2,일반영역,공통,
유토피아와디스토피아,조한상,오프라인,"목(1,2)", 13-201 ,2,제2영역:역사와철학,공통,
현대소비자와디지털광고,김은희,오프라인,"월(8,9)", 13-201 ,2,제5영역:정치와경제,공통,
젠더커뮤니케이션-남과여의의사소통,이주희,오프라인,"월(3,4),수(3)", 13-101 ,3,제3영역:인간과사회,공통,
문화-예술과저작권,김상균,오프라인,"월(3,4),화(7)", 13-402 ,3,제3영역:인간과사회,공통,
현대도시와미래,류경무,오프라인,"화(1,2)", 13-501 ,2,제4영역:과학과기술,공통,
스마트시대의정보보호,김봉한,오프라인,"금(5,6)", 13-201 ,2,제4영역:과학과기술,공통,
생활러시아어,이영범,오프라인,"수(8,9)", 13-303 ,2,일반영역,공통,
다문화주의와글로컬리즘,이영범,오프라인,"월(5,6)", 13-403 ,2,제3영역:인간과사회,공통,
세계화와세계지리,염승일,오프라인,"화(1,2),목(6)", 13-401 ,3,제3영역:인간과사회,공통,
창의적기획서작성의이해,이현선,오프라인,"월(8,9)", 13-202 ,2,일반영역,공통,
지속가능한환경과에코캠퍼스,백승관,오프라인,"금(5,6)", 13-401 ,2,제4영역:과학과기술,공통,
IT융합을위한창의소프트웨어,전완식,오프라인,"월(8,9)", 42-107C,2,제6영역:SW영역,공통,
직업세계의이해와진로탐색,임정섭,오프라인,수(4), 13-303 ,1,일반영역,공통,
직업세계의이해와진로탐색,임정섭,오프라인,수(5), 13-303 ,1,일반영역,공통,
진로설정과직업선택,임정섭,오프라인,금(3), 13-501 ,1,일반영역,공통,
진로설정과직업선택,최금진,오프라인,월(9), 13-301 ,1,일반영역,공통,
진로설계와경력개발,김형욱,오프라인,목(3), 13-501 ,1,일반영역,공통,
진로설계와경력개발,김형욱,오프라인,목(4), 13-501 ,1,일반영역,공통,
중급일본어,김선영,오프라인,"화(1,2)", 13-101,2,일반영역,공통,
대학생을위한실용금융,은호익,오프라인,"금(3,4)", 13-301 ,2,제5영역:정치와경제,공통,
부모교육의이해,김영식,오프라인,"금(3,4)", 13-401,2,제3영역:인간과사회,공통,
창의적모바일코딩,박영환,오프라인,"화(6,7)", 42-107C,2,제6영역:SW영역,공통,
영상문화론:어떻게이미지를읽는가?,박인영,오프라인,"목(5,6)", 13-101 ,2,제1영역:문화와예술,공통,
창업과법률,오석웅,오프라인,"화(7),목(1,2)", 13-203 ,3,일반영역,공통,
창의적사고와상상력,김성일,오프라인,"목(1,2)", 13-501 ,2,제2영역:역사와철학,공통,
말하기의사소통의원리와실제,최건아,오프라인,"화(1,2)", 42-304 ,2,제3영역:인간과사회,공통,
TED로만나는영어와세계문화,신광인,오프라인,"목(3,4)", 13-203 ,2,제1영역:문화와예술,공통,
실학사상과현대사회,도민재,오프라인,"화(5,6)", 13-203 ,2,제2영역:역사와철학,공통,
동양고전과리더십,도민재,오프라인,"수(3,4)", 13-201,2,제2영역:역사와철학,공통,
비판적사고와논증,김범수,오프라인,"화(1,2,3)", 13-102 ,3,제2영역:역사와철학,공통,
청년의삶과21세기민주시민,유호근,오프라인,"금(1,2)", 13-303 ,2,제5영역:정치와경제,공통,
과학사의이해,김범수,오프라인,"화(5,6,7)", 13-101 ,3,제4영역:과학과기술,공통,
국제개발협력의이해,백숙희,온오프병행,"화(5,6,7)", 09-312 ,3,제5영역:정치와경제,공통,
유도의이론및실기,박종학,오프라인,"화(5,6)", 51-109 ,2,일반영역,공통,
인간심리이해,임정섭,오프라인,"월(8,9),화(3)", 13-501 ,3,제3영역:인간과사회,공통,
CLAP2,이종선,오프라인,"금(2,3,5,6)", 42-207 ,3,제3영역:인간과사회,공통,
사회학의이해,이정환,오프라인,"목(8,9),금(4)", 13-203 ,3,제3영역:인간과사회,공통,
법치주의와의회정치,최철호,오프라인,"수(7),금(1,2)", 13-302 ,3,제5영역:정치와경제,공통,
자본주의와경제학,김종구,온오프병행,"목(8,9)", 09-312 ,2,제5영역:정치와경제,공통,
민주주의란무엇인가? ,유호근,오프라인,"월(5,6),화(4)", 13-303 ,3,제5영역:정치와경제,공통,
국제관계의이해,유호근,오프라인,"화(3),목(1,2)", 13-303 ,3,제5영역:정치와경제,공통,
빅데이터의이해,이동혁,오프라인,"금(3,4)", 42-107C,2,제6영역:SW영역,공통,
입문일본어,권영성,오프라인,"수(1,2)", 13-402,2,일반영역,공통,
입문중국어,왕뢰,오프라인,"수(3,4)", 09-310 ,2,일반영역,공통,
입문중국어,왕뢰,오프라인,"수(8,9)", 09-307 ,2,일반영역,공통,
아카데믹영어,김미진,오프라인,"수(5,6)", 09-316 ,2,일반영역,공통,
논어의지혜,도민재,오프라인,"금(5,6)", 13-203 ,2,제2영역:역사와철학,공통,
인물로만나보는한국사,박성준,오프라인,"월(5,6)", 13-101 ,2,제2영역:역사와철학,공통,
헌법으로읽는한국사회,조한상,온라인(동영상콘텐츠),(온라인),(온라인),2,제3영역:인간과사회,공통,
헌법으로읽는한국사회,조한상,온라인(동영상콘텐츠),(온라인),(온라인),2,제3영역:인간과사회,공통,
과학기술과인간의미래,이은경,오프라인,"화(1,2)", 09-213 ,2,제4영역:과학과기술,공통,
영어회화(중급),아이린 애모스,오프라인,"화(3,4)", 20-421,2,일반영역,공통,
영어독해(중급),함은경,오프라인,"목(3,4)", 09-308 ,2,일반영역,공통,
문제해결을위한컴퓨팅사고,이성현,오프라인,"월(8,9)", 42-104 ,2,제6영역:SW영역,공통,
저작권과상표권,조경철,오프라인,"화(5),수(5,6)", 13-302 ,3,일반영역,공통,
입문프로그래밍언어,김시정,오프라인,"목(3,4)", 42-103 ,2,제6영역:SW영역,공통,
인간의삶과문학,김선영,오프라인,"월(3),금(1,2)", 13-203 ,3,제1영역:문화와예술,공통,
고전한문을통한미래치유,김미선,오프라인,"화(1,2)", 13-402 ,2,제2영역:역사와철학,공통,
나만의스토리:퍼스널브랜딩,최금진,오프라인,"화(7),목(8,9)", 42-304 ,3,제3영역:인간과사회,공통,
인구교육의이론과실제,김영식,오프라인,"화(5),목(8,9)", 13-202 ,3,제3영역:인간과사회,공통,
배움의역사,최금진,오프라인,"목(1,2)", 13-103 ,2,제3영역:인간과사회,공통,
예술과글쓰기,박인영,오프라인,"금(3,4)", 09-411 ,2,제1영역:문화와예술,공통,
사회과학글쓰기,유호근,오프라인,"목(5,6)", 20-137 ,2,제3영역:인간과사회,공통,
이공계를위한글쓰기,염효영,오프라인,"목(8,9)", 09-307 ,2,제4영역:과학과기술,공통,
금융자산관리의이해,곽세영,오프라인,"월(1,2,3)", 13-303 ,3,일반영역,공통,
RC재활필라테스,김민진,오프라인,"월(11,12)", 08-420 ,2,일반영역,공통,
RC자기계발과리더십,최금진,오프라인,"화(11,12)", 43-011A,2,일반영역,공통,
영화와사회,박인영,오프라인,"목(8,9)", 13-101 ,2,제1영역:문화와예술,공통,
영화로읽는문학,함은경,오프라인,"금(3,4)", 13-201 ,2,제1영역:문화와예술,공통,
시민교육과동서양문학의이해,김선영,오프라인,"화(5),목(3,4)", 13-201 ,3,제3영역:인간과사회,공통,
현대매체철학의이해,김성일,온오프병행,"월(3,4)", 09-312 ,2,제3영역:인간과사회,공통,
금융과공학의만남,고석빈,오프라인,"월(8,9)", 13-302 ,2,제4영역:과학과기술,공통,
인문사회학생을위한통계학,고석빈,오프라인,"금(1,2)", 13-101 ,2,제4영역:과학과기술,공통,
비주얼감성코딩,김시정,오프라인,"월(8,9)", 42-103 ,2,제6영역:SW영역,공통,
인공지능을위한코딩,이성현,오프라인,"목(8,9)", 42-107C,2,제6영역:SW영역,공통,
"청주학Ⅱ［학이시습,인물을만나다Ⅱ］",황경수,오프라인,"목(8,9)", 13-403 ,2,일반영역,공통,
글로컬비즈니스영어,김미진,오프라인,"월(3,4)", 09-307 ,2,일반영역,공통,
TED ED로배우는영어토론,캐시하인즈,오프라인,"수(4,5)", 20-229 ,2,일반영역,공통,
영화로이해하는중국,이시찬,오프라인,"수(5,6)", 13-301 ,2,제1영역:문화와예술,공통,
비즈니스매너와글로벌에티켓,김영식,오프라인,"월(3,4)", 13-301 ,2,일반영역,공통,
글로벌공동체론,심은진,온오프병행,"화(6,7)", 42-204 ,2,제3영역:인간과사회,공통,
일본문화의이해,권영성,오프라인,"월(5,6),수(7)", 13-401 ,3,제1영역:문화와예술,공통,
인간행동심리와리더십,임정섭,오프라인,"수(8,9)", 13-201 ,2,제3영역:인간과사회,공통,
판결중심의법이해하기,윤기택,오프라인,"화(1,2),목(6)", 13-403 ,3,제3영역:인간과사회,공통,
우주와천문학,염태호,오프라인,"화(5,6)", 13-102 ,2,제4영역:과학과기술,공통,
생활화학과문제해결,이헌,오프라인,"금(3,4)", 09-307 ,2,제4영역:과학과기술,공통,
파생상품이야기,박준우,오프라인,"월(5),목(8,9)", 13-302 ,3,일반영역,공통,
메타버스와혁명,정근훈,오프라인,"금(6,7)", 13-102 ,2,제6영역:SW영역,공통,
블록체인과가상화폐,정근훈,오프라인,"금(8,9)", 13-102 ,2,제6영역:SW영역,공통,
비즈니스머신러닝,이원준,오프라인,"월(8,9)", 42-307 ,2,제6영역:SW영역,공통,
이미지메이킹과브랜딩전략,이윤정,오프라인,"화(3,4)", 13-101 ,2,일반영역,공통,
러시아문학과사상,이영범,오프라인,"화(5,6)", 13-402 ,2,제1영역:문화와예술,공통,
인공지능의이해,김시정,온라인(동영상콘텐츠),(온라인),(온라인),2,제6영역:SW영역,공통,
인공지능의이해,김시정,온라인(동영상콘텐츠),(온라인),(온라인),2,제6영역:SW영역,공통,
자기주도적학습을위한러닝포트폴리오,최금진,오프라인,"목(5,6)", 20-325 ,2,일반영역,공통,
문자디자인(타이포그래피)의이해와소통,이종선,오프라인,"수(1,2)", 13-101 ,2,제1영역:문화와예술,공통,
문명과수학,김인경,오프라인,"금(3,4)", 13-202 ,2,제4영역:과학과기술,공통,
ESG경영이해,이창언,오프라인,"수(5,6)", 13-401 ,2,제5영역:정치와경제,공통,
서양문학의이해,김성일,온오프병행,"월(8,9),목(4)", 09-312 ,3,제1영역:문화와예술,공통,
글로벌인재를위한세계사강의,이시찬,오프라인,"목(8,9)", 13-201 ,2,제2영역:역사와철학,공통,
CLAP3,이종선,오프라인,"수(8,9)", 42-207 ,2,제3영역:인간과사회,공통,
미래사회와소프트웨어,김시정,온라인(동영상콘텐츠),(온라인),(온라인),2,제6영역:SW영역,공통,
미래사회와소프트웨어,김시정,온라인(동영상콘텐츠),(온라인),(온라인),2,제6영역:SW영역,공통,
세상을연결하는컴퓨터네트워크,김봉한,온라인(동영상콘텐츠),(온라인),(온라인),2,제4영역:과학과기술,공통,
세상을연결하는컴퓨터네트워크,김봉한,온라인(동영상콘텐츠),(온라인),(온라인),2,제4영역:과학과기술,공통,
일본인의삶,권영성,온라인(동영상콘텐츠),(온라인),(온라인),2,일반영역,공통,
일본인의삶,권영성,온라인(동영상콘텐츠),(온라인),(온라인),2,일반영역,공통,
이문화의이해,김선영,오프라인,"목(8,9)", 13-303 ,2,제1영역:문화와예술,공통,
서양신화와문명의이해,김성일,오프라인,"수(3,4)", 13-301 ,2,제1영역:문화와예술,공통,
한국전통문화와예절,도민재,오프라인,"월(8,9)", 13-203 ,2,제1영역:문화와예술,공통,
한국의민속과예술,소인호,오프라인,"화(1,2)", 13-303 ,2,제1영역:문화와예술,공통,
행복학개론,박준우,오프라인,"금(1,2)", 13-501 ,2,제3영역:인간과사회,공통,
ESG와공공담론,조한상,오프라인,"월(3,4)", 13-102 ,2,제5영역:정치와경제,공통,
RC실전동영상편집,홍민희,오프라인,"목(11,12)", 31-213,2,일반영역,공통,
충북특화산업의수출과세계화,이재영,오프라인,"수(8,9)", 13-302,2,제5영역:정치와경제,공통,
